	id_tweet	created_at	user_name	text	clean	cluster	subcluster
205	1050207760695070720	2018-10-10 21:13:36	Citytv	#TuMundoHoy  En el marco de las marchas estudiantiles, el Gobierno aprobó el aumento de 500 mil millones de pesos para la educación superior en 2019 https://t.co/FQIq9evJZQ	  mundo   marcar marchar estudiantil   gobernar aprobar aumentar      mil millón peso educación superior       	0	0
209	1050236080551841792	2018-10-10 23:06:08	Citytv	#TuMundoHoy  En el marco de las marchas estudiantiles, el Gobierno aprobó el aumento de 500 mil millones de pesos para la educación superior en 2019. https://t.co/9hjiwmXST6	  mundo   marcar marchar estudiantil   gobernar aprobar aumentar      mil millón peso educación superior        	0	0
255	1052422979412549632	2018-10-16 23:56:06	Citytv	#TuMundoHoy 158 personas murieron esta semana de receso escolar, un 37% menos que el año anterior. Las cifras pueden aumentar mientras las autoridades cotejan toda la información, sin embargo, aseguran que la lluvia fue una de las principales causas de siniestralidad. https://t.co/xBFkEfbsCz	  mundo      personar morir semana receso escolar        año   cifrar aumentar autoridad cotejar información     asegurar lluvia principal causar siniestralidad   	0	0
512	1058542870687350785	2018-11-02 21:14:21	Citytv	#TuMundoHoy Directores de la Policía Antinarcóticos y juristas apoyarán la propuesta del Fiscal General, Néstor Humberto Martínez, para combatir el aumento del narcotráfico. Se trata de cortar la energía en las zonas donde hay producción de marihuana. https://t.co/VkU4rvtTgP	  mundo director policía antinarcóticos y jurista apoyar proponer fiscal   néstor humberto martínez   combatir aumentar narcotráfico   cortar energía zona producción marihuana   	0	0
517	1058569174799269889	2018-11-02 22:58:53	Citytv	#TuMundoHoy ¿Es Colombia responsable del aumento de muertes por sobredosis en Estados Unidos como lo alertó la @DEAHQ? https://t.co/xxE2MfZ9F9	  mundo   colombia responsable aumentar muerte sobredosis unir alertar     	0	0
703	1063258096477310976	2018-11-15 21:30:59	Citytv	#TuMundoHoy ► Los resultados del crecimiento de la economía colombiana en el tercer trimestre crean expectativas porque el balance de este pueda llegar al 3%. Dependiendo del precio del petroleo y de la ley de financiamiento esto podría suceder. https://t.co/8QhIEEX87a	  mundo    resultar crecimiento economía colombiano 3 trimestre creer expectativa balance llegar      depender preciar petrolear y ley financiamiento suceder   	0	0
709	1063285939286564864	2018-11-15 23:21:37	Citytv	#TuMundoHoy ► Los resultados del crecimiento de la economía colombiana en el tercer trimestre crean expectativas para que el balance de este pueda subir. ¿Llegaremos al 3% en diciembre? https://t.co/HnjGKSanoL	  mundo    resultar crecimiento economía colombiano 3 trimestre creer expectativa balance subir    llegar     diciembre   	0	0
884	1067639255768461312	2018-11-27 23:40:09	Citytv	#TuMundoHoy ► El @ComisionadoPaz, @ceballosarevalo, dijo que en Colombia, por cuenta del Eln, ha aumentado el número de minas antipersonales instaladas en los territorios. #LasClaves para entender esta noticia son: https://t.co/nlJnL81Yz3	  mundo           colombia   eln   aumentar número minar antipersonales instalar territorio    clave entender noticiar   	0	0
996	1069807927035351041	2018-12-03 23:17:40	Citytv	Anualmente se producen en Colombia más de 930 toneladas de marihuana cripy. Cauca sería es el principal departamento donde se cultiva. Aunque la mayoría del producido se exporta, autoridades dicen que en el país también aumentó el consumo #TuMundoHoy https://t.co/YGzZR8n2ts	anualmente producir colombia      tonelada marihuana cripy   cauca principal departamento cultivar   mayoría producir exportar   autoridad país aumentar consumir   mundo  	0	0
1292	1076325620995493888	2018-12-21 22:56:39	Citytv	¿Sí alcanza el salario mínimo? Con el aumento del 6 % al SM también aumenta el precio de algunos peajes, soat, multas de tránsito.  Conozca aquí los servicios que tendrán un mayor costo ⬇️#TuMundoHoy https://t.co/WghEjqgt8t	  alcanzar salariar mínimo   aumentar      sm aumentar preciar peaje   soat   multar tránsito    conocer servicio costo     mundo  	0	0
