	id_tweet	created_at	user_name	text	clean	subsubcluster
7939	1073193419441348609	2018-12-13 07:30:24	BogotaTransito	📢#Atentos: autoridades intervienen y comienzan a regular el paso de vehículos en la Av. Ciudad de Cali con calle 38 sur. Carril de @TransMilenio aún sin paso. Cerrado Portal Américas, así como las estaciones Patio Bonito y Biblioteca. https://t.co/t9dT5D5Xqk	   atento   autoridad intervenir y comenzar a regular pasar vehículo av   ciudad cali callar     sur   carril    pasar   cerrar portal américas   estacionar patio bonito y biblioteca   	-1
7942	1073200292303376385	2018-12-13 07:57:43	BogotaTransito	#AEstaHora comienza a restablecerse el paso de articulados de @TransMilenio en la Av. Ciudad de Cali con calle 38 sur. Se abren estaciones y Portal Américas que permanecían cerrados. https://t.co/AAfSqp5aEO	  a hora comenzar a restablecerse pasar articular    av   ciudad cali callar     sur   abrir estacionar y portal américas permanecer cerrar   	-1
739	1048631741794189313	2018-10-06 12:51:04	BogotaTransito	A pesar del alto flujo vehicular durante este #PlanÉxodo por la Semana de Receso, los corredores de salida fluyen, con una velocidad media de 34 km/h hacia el norte y de 30 km/h hacia el sur. https://t.co/n7iSkAdHNp	a alto flujo vehicular   planéxodo semana receso   corredor salir fluir   velocidad medio     kilómetro hora norte y     kilómetro hora sur   	-1
1005	1049737567648800774	2018-10-09 14:05:13	BogotaTransito	RT @BomberosBogota: Bomberos de la estaciones #Restrepo y #Venecia, aseguran el área en la Carrera 24 con Calle 41, donde se presentó la co…	    bombero estacionar   restrepo y   venecia   asegurar área carrera     callar      presentar co	-1
3685	1058547652508442625	2018-11-02 21:33:21	BogotaTransito	Mejoran las condiciones de velocidad en algunos corredores de salida de Bogotá. Revisa luces y el estado general de tu vehículo. Feliz #PlanÉxodo. https://t.co/52ZL39aXDc	mejorar condicionar velocidad corredor salir bogotá   revisar luz y vehículo   feliz   planéxodo   	-1
3766	1058855090893832192	2018-11-03 17:55:00	BogotaTransito	Mejoran las condiciones de velocidad en algunos corredores de salida de Bogotá. Revisa luces y el estado general de tu vehículo. Feliz #PlanÉxodo. https://t.co/gkibY3zptR	mejorar condicionar velocidad corredor salir bogotá   revisar luz y vehículo   feliz   planéxodo   	-1
4623	1062166219179069440	2018-11-12 21:12:15	BogotaTransito	Buenas condiciones de movilidad en los principales corredores viales, no obstante, se evidencia aún alta congestión vehicular en la Autosur durante este #PlanRetorno. https://t.co/TniKA9wBh1	condicionar movilidad principal corredor vial   obstante   evidenciar alto congestión vehicular autosur   plan retornar   	-1
4939	1063058888184995840	2018-11-15 08:19:24	BogotaTransito	Av. Caracas con Calle 52 ha sido despejada, paso normal al norte.	av   caracas callar     despejar   pasar normal norte	-1
5138	1063484788433190912	2018-11-16 12:31:46	BogotaTransito	RT @SectorMovilidad: 📢#Atención: a partir de hoy comienza a regir el límite de velocidad de 50 km/h en cinco corredores de Bogotá: ✔️Av.…	      atención   a comenzar a regir límite velocidad     kilómetro hora corredor bogotá     av  	-1
5139	1063484801305448448	2018-11-16 12:31:49	BogotaTransito	RT @SectorMovilidad: A partir del 15 de diciembre se aplicarán multas de $390.600 a quienes excedan el límite de Vel. de 50 km/h en las Amé…	    a     diciembre aplicar multar           a exceder límite vel       kilómetro hora amar	-1
6418	1067893504758738944	2018-11-28 16:30:26	BogotaTransito	@alejath15 @TransMilenio @Bogota @CanalCapital @SectorMovilidad @SeguridadBOG @EnriquePenalosa La troncal @TransMilenio de la Calle 26 y todas sus estaciones se encuentran operando normalmente.	               troncal    callar     y estacionar encontrar operar normalmente	-1
6420	1067893982783578124	2018-11-28 16:32:20	BogotaTransito	@LuisAdr56082415 @TransMilenio @idubogota @SectorMovilidad @CanalCapital @EnriquePenalosa @Bogota La troncal @TransMilenio de la Calle 26 y todas sus estaciones se encuentran operando normalmente.	               troncal    callar     y estacionar encontrar operar normalmente	-1
4459	1061301991459209217	2018-11-10 11:58:07	BogotaTransito	Buenas condiciones de movilidad para que inicies tu #PlanÉxodo. Recuerda que en cada corredor tenemos presencia de @TransitoBta y nuestro grupo GUIA. https://t.co/HC4y26aqIy	condicionar movilidad iniciar   planéxodo   recordar corredor presenciar    y grupo guia   	-1
4986	1063158216568250368	2018-11-15 14:54:06	BogotaTransito	RT @Bocarejo_JP: Buen comportamiento de la marcha estudiantil en Autonorte. Respeto por el carril de TM, marcha pacífica. Así debe terminar…	   jp   comportamiento marchar estudiantil autonorte   respetar carril tm   marchar pacífico   terminar	-1
4987	1063158266975399936	2018-11-15 14:54:18	BogotaTransito	RT @TransMilenio: ¡Bloquear el carril exclusivo de TransMilenio nos afecta a todos🙋‍♀️🙋‍♂️🧓👴👶🧑👷‍♂️👮‍♂️👩‍💻👨‍💼!Protesta en paz 🕊 y permite…	     bloquear carril exclusivo trans milenio afecto a                            protestar paz    y permitir	-1
5870	1065964167151128576	2018-11-23 08:43:56	BogotaTransito	📢#AEstaHora, al parecer, estudiantes del @SENAComunica bloquean la carrera 13 con calle 65. Unidad de👮🏻‍♀️ @TransitoBta para verificar la situación.	   a hora   parecer   estudiante    bloquear carrera     callar      unidad         verificar situación	-1
6404	1067881225329811462	2018-11-28 15:41:39	BogotaTransito	Troncal Caracas de @TransMilenio opera normalmente, excepto los servicios hacia el Portal 80, quienes retornan en la Av Ciudad de Cali.	troncal caracas    operar normalmente   servicio portal      retornar av ciudad cali	-1
6406	1067881786171170816	2018-11-28 15:43:52	BogotaTransito	En el Portal 80 @TransMilenio no hay servicio. Troncal 80 opera desde Av Ciuda de Cali al oriente.	portal       servicio   troncal     operar av ciuda cali orientar	-1
6411	1067884766895194112	2018-11-28 15:55:43	BogotaTransito	Portal 80 de @TransMilenio vuelve a operar servicios troncales. Alimentadores aún no operan.	portal        volver a operar servicio troncal   alimentador operar	-1
4933	1063055751290216448	2018-11-15 08:06:56	BogotaTransito	Se dirigen a la Avenida Caracas con Calle 52	dirigir a avenir caracas callar   	-1
580	1048224611870154759	2018-10-05 09:53:17	BogotaTransito	RT @BomberosBogota: ATENCIÓN ⚠️ Bomberos de la estación #PuenteAranda controlan gran incendio al interior de una construcción en la Avenida…	    atención     bombero estación   puente aranda controlar incendiar interior construcción avenir	-1
745	1048657351002279942	2018-10-06 14:32:50	BogotaTransito	Mejoran las condiciones de velocidad para este #PlanÉxodo por Semana de Receso. Aprovecha e inicia tu viaje de manera segura. https://t.co/GldCInwScA	mejorar condicionar velocidad   planéxodo semana receso   aprovechar e iniciar viajar seguro   	-1
751	1048687348039524352	2018-10-06 16:32:02	BogotaTransito	📊 Disminuye la velocidad en corredores como la Autosur y la vía al Llano. Los demás mantienen una velocidad constante durante este #PlanÉxodo de Semana de Receso. https://t.co/swSHbZGjUn	   disminuir velocidad corredor autosur y vía llano   mantener velocidad constante   planéxodo semana receso   	-1
1365	1050531968281178112	2018-10-11 18:41:53	BogotaTransito	RT @BomberosBogota: Bomberos de la estación #Central aseguran el área en la Carrera 30 entre las Calles 27 y 28, donde aplican material abs…	    bombero estación   central asegurar área carrera     calle     y      aplicar material abs	-1
3840	1059558037923475457	2018-11-05 16:28:16	BogotaTransito	📊Continúa el #PlanRetorno y mejoran las condiciones de velocidad en algunos corredores de entrada a Bogotá. https://t.co/VGlrtClzeO	  continuar   plan retornar y mejorar condicionar velocidad corredor entrar a bogotá   	-1
3849	1059620955616612352	2018-11-05 20:38:17	BogotaTransito	📊 Avanza el #PlanRetorno y mejoran las condiciones de velocidad en algunos corredores de entrada a Bogotá.  🚎 🚘 https://t.co/MRSBJTJYwO	   avanzar   plan retornar y mejorar condicionar velocidad corredor entrar a bogotá        	-1
4377	1061003928635170816	2018-11-09 16:13:43	BogotaTransito	@andres_sar85 @PoliciaBogota @RedapBogota Gracias por tu reporte Andres, estaremos atentos	   sar        gracia reportar andres   estar atento	-1
4379	1061008036402262018	2018-11-09 16:30:03	BogotaTransito	@lindanena319 @comunidadUPN Buenos días se está monitoreando la situación y por el momento se tiene bloqueos intermitentes, sugerimos no tomar estas vías alternas para evitar congestión por los incidentes. Feliz tarde Bogotá mejor para todos	     monitoreando situación y bloqueo intermitente   sugerir tomar vía alterno evitar congestión incidente   feliz bogotá	-1
4384	1061010414639726593	2018-11-09 16:39:30	BogotaTransito	¿Con planes de viajar durante este puente festivo? Sigue los reportes 👇🏻 sobre el estado de los principales corredores de salida en este #PlanÉxodo y elige el mejor momento para iniciar tu viaje. https://t.co/fhGdeMQwGj	  plan viajar puente festivo   reporte     principal corredor salir   planéxodo y elegir iniciar viajar   	-1
4399	1061036978521759744	2018-11-09 18:25:03	BogotaTransito	Durante este #PlanÉxodo manejamos una media de velocidad de 25 km/h en los principales corredores. Se evidencia mayor flujo vehicular entrando que saliendo de Bogotá. https://t.co/4MYrUWwYQA	  planéxodo manejar medio velocidad     kilómetro hora principal corredor   evidenciar flujo vehicular entrar salir bogotá   	-1
4603	1062100820404170758	2018-11-12 16:52:23	BogotaTransito	@Jamir_Musiko Buenas tardes, la movilización ya finalizo.	   musiko tarde   movilización finalizar	-1
6018	1066780369352052736	2018-11-25 14:47:14	BogotaTransito	@NannaMharia Buenas Tardes, ya se gestiono con la cuadrilla de semaforizacion gracias por tu reporte buen día.	   tarde   gestionar cuadrilla semaforizacion gracia reportar	-1
6400	1067877318121725953	2018-11-28 15:26:07	BogotaTransito	@carlosrami77 @TransMilenio La Calle 26 se encuentra habilitada en ambos sentidos..	     callar     habilitar sentir  	-1
6410	1067883547246174215	2018-11-28 15:50:52	BogotaTransito	@LauraNoEstaa_ @TransMilenio @Bogota @GobiernoBTA @SectorMovilidad @idubogota La NQS opera normalmente en ambos sentidos para particulares y para @TransMilenio.	              nqs operar normalmente sentir particular y   	-1
6426	1067907124938907648	2018-11-28 17:24:33	BogotaTransito	@arsaltda1 @TransMilenio opera normalmente en la troncal Calle 80 en ambos sentidos.. Recuerda que estamos en hora pico.	     operar normalmente troncal callar     sentir    recordar hora picar	-1
6876	1069677355227103238	2018-12-03 14:38:49	BogotaTransito	RT @BomberosBogota: Bomberos de la estación #Candelaria aseguran el área en la carrera 44 # 72s -26, donde se presentó el incendio de un ve…	    bombero estación   candelaria asegurar área carrera         segundo       presentar incendiar ver	-1
7628	1072225354872442881	2018-12-10 15:23:40	BogotaTransito	RT @ANI_Colombia: Un #BuenConductor No adelante en doble línea amarilla continua. Respete las señales de tránsito y los límites de velocida…	   colombia     conductor doblar líneo amarillo continuo   respetar señalar tránsito y límite velocida	-1
8895	1076510741639892993	2018-12-22 11:12:16	BogotaTransito	Gestionamos el tránsito en los diferentes corredores de Bogotá para asegurarnos que tengas un buen #PlanÉxodo.Así avanza la movilidad a esta hora. https://t.co/6hRCCg4p7O	gestionar tránsito corredor bogotá asegurarnos tener   planéxodo avanzar movilidad a hora   	-1
9082	1078045996507189248	2018-12-26 16:52:49	BogotaTransito	@Sants19888 Buenas tardes, se presenta una falla de energía desde las horas de la mañana, ya grupo técnico de codensa se encuarta solucionado la novedad gracias por tu reporte.	   tarde   presentar fallo energía mañana   grupo técnico codensa encuarta solucionar novedad gracia reportar	-1
9314	1079109135860465670	2018-12-29 15:17:21	BogotaTransito	📊 Conoce las velocidades promedio en las principales entradas y salidas de Bogotá durante el #PlanÉxodo y elige el mejor momento para tu viaje. https://t.co/xrc1IUDy4o	   conocer velocidad promediar principal entrar y salir bogotá   planéxodo y elegir viajar   	-1
