	id_tweet	created_at	user_name	text	clean	subsubcluster
187	1047282681774592000	2018-10-02 19:30:23	BogotaTransito	RT @BomberosBogota: Bomberos de la estación #Caobos aseguran el área y controlan un incendio en un vehículo en la Carrera 7 con 126, sentid…	    bombero estación   caobo asegurar área y controlar incendiar vehículo carrera          sentir	1
511	1048014208837865473	2018-10-04 19:57:13	BogotaTransito	RT @SectorMovilidad: 📢#Atención [Comunicado]:📄 Cierre total de la Avenida Carrera 11 entre las calles 76 y 75 por actividades de rehabili…	      atención   comunicar     cerrar avenir carrera     calle     y     actividad rehabili	1
1497	1050881666942726144	2018-10-12 17:51:28	BogotaTransito	RT @BomberosBogota: Bomberos de la estación #PuenteAranda aseguran el área en la Avenida Boyacá con 13, donde se presentó una colisión entr…	    bombero estación   puente aranda asegurar área avenir boyacá      presentar colisión entr	1
2770	1055562122820763648	2018-10-25 15:49:56	BogotaTransito	RT @BomberosBogota: Bomberos de la estación #PuenteAranda aseguraron el área y controlaron un incendio en un vehículo de carga en la Carrer…	    bombero estación   puente aranda asegurar área y controlar incendiar vehículo cargar carrer	1
3257	1057362317451710465	2018-10-30 15:03:15	BogotaTransito	Incidente vial entre particulares 🚘‍ en la Av. Esperanza con carrera 68.Unidad de 👮 @TransitoBta asignada.	incidente vial particular     av   esperanzar carrera     unidad      asignar	1
3260	1057366420563128322	2018-10-30 15:19:34	BogotaTransito	Vehículo recolector choca contra un árbol 🌳en la carrera 58 con calle  17.	vehículo recolector chocar árbol   carrera     callar     	1
6006	1066689380755152902	2018-11-25 08:45:41	BogotaTransito	Incidente vial entre 2 motociclistas 🏍‍ en la Autosur con calle 65 C sur.Unidad de 👮 @TransitoBta asignada.	incidente vial    motociclista     autosur callar     c sur unidad      asignar	1
6028	1066839848798117888	2018-11-25 18:43:35	BogotaTransito	Incidente vial entre particulares 🚘‍ en la Av. Esperanza con carrera 96.Unidad de 👮 @TransitoBta asignada.	incidente vial particular     av   esperanzar carrera     unidad      asignar	1
8449	1075133914350530560	2018-12-18 16:01:14	BogotaTransito	Caída de árbol  🌳 en la carrera 80 B con calle 25 B,  Se asigna unidad de👮🏻 @TransitoBta.  y 🚒 @BomberosBogota.	caer árbol     carrera     b callar     b    asignar unidad        y     	1
342	1047669789404155904	2018-10-03 21:08:37	BogotaTransito	RT @BomberosBogota: Bomberos de la estación #Kennedy aseguran el área en la Carrera 88 con 5a Sur, donde un andamio cayó sobre un motocicli…	    bombero estación   kennedy asegurar área carrera       a sur   andamio caer motocicli	1
1188	1050093970737549313	2018-10-10 13:41:27	BogotaTransito	#AEstaHora se habilita el paso en la calle 19 con Av. NQS, luego del paso de marcha estudiantil. https://t.co/PNGExUEJ35	  a hora habilitar pasar callar     av   nqs   pasar marchar estudiantil   	1
1863	1052592401771102208	2018-10-17 11:09:19	BogotaTransito	📢#Atención: arranca la primera movilización estudiantil (ESAP) de hoy en la calle 44 con carrera 50, con un aforo aproximado de 100 personas. https://t.co/cOy5rfzHaW	   atención   arrancar movilización estudiantil   esap   callar     carrera      aforo aproximar      personar   	1
2183	1053442803374678016	2018-10-19 19:28:31	BogotaTransito	📢#Atención: se reporta movilización en la Av. Villavicencio con Av. Primero de Mayo. Cerca de 200 personas aproximadamente. https://t.co/ND7sWLPiiM	   atención   reportar movilización av   villavicencio av   mayar        personar   	1
2602	1055077907037593600	2018-10-24 07:45:50	BogotaTransito	💥cierre de vía por caída de cables en la carrera 5 con calle  67. Se asigna unidad de👮🏻 @TransitoBta. 🚑 y 🚒 @BomberosBogota.	  cerrar vía caer cable carrera    callar       asignar unidad         y     	1
3373	1057674507748605958	2018-10-31 11:43:47	BogotaTransito	RT @BomberosBogota: Bomberos de la estación #Chapinero aseguran el área en la Carrera 7 con Calle 88, donde un árbol cayó sobre la vía. Se…	    bombero estación   chapinero asegurar área carrera    callar      árbol caer vía  	1
5293	1064219134328745985	2018-11-18 13:09:48	BogotaTransito	Incidente vial entre 🚗 y un ciclista 🚴‍♂️ en el Mirador sector la Paloma. Unidad de 👮@TransitoBta y 🚑 asignadas.	incidente vial    y ciclista       mirador sector paloma   unidad     y    asignar	1
6333	1067791658450849793	2018-11-28 09:45:44	BogotaTransito	Cerca de 100 manifestantes se concentran a esta hora en la carrera 7 a la altura del Parque Nacional. Se encuentran a la espera de más personas para iniciar la movilización. https://t.co/8dVHzDsmeE	     manifestante concentrar a hora carrera    a altura parque nacional   encontrar a esperar personar iniciar movilización   	1
5976	1066229897868193792	2018-11-24 02:19:51	CIVICOSBOG	En la carera 13 por 47 se presenta un atropellamiento que deja como resultado dos personas lesionadas (peatón y conductor del vehículo). @ Bogotá, Colombia https://t.co/bi7uiQ0fwL	carero         presentar atropellamiento dejar resultar personar lesionar   peatón y conductor vehículo      bogotá   colombia  	1
297	1047541390916427776	2018-10-03 12:38:24	RedapBogota	Choque simple frente al centró comercial tunal de norte a sur no hay  paso x la carrera 24 ...	chocar simple frente centrar comercial tunal norte a sur   pasar x carrera       	1
741	1048646954501230594	2018-10-06 13:51:31	RedapBogota	Av carrera 68 en ambos sentidos desde calle 3a hasta calle 26 bastante congestionada	av carrera     sentir callar   a callar     congestionar	1
1642	1051562242670497792	2018-10-14 14:55:50	RedapBogota	Fuerte tormenta eléctrica en el corredor vial que conduce de Bogotá a Anapoima por Mondoñedo; tener precaución en la vía cerca a Tena por posibles desprendimientos de tierra.	fuerte tormenta eléctrico corredor vial conducir bogotá a anapoima mondoñedo   precaución vía a tena posible desprendimiento tierra	1
3056	1056876953674936321	2018-10-29 06:54:36	RedapBogota	carrera 50 Está congestionada hacia el norte desde la calle 45 hasta la Glorieta de la calle 63	carrera     congestionar norte callar     glorieta callar   	1
3058	1056878361644015616	2018-10-29 07:00:11	RedapBogota	carrera 7a congestionadas de la calle 85 hasta la calle 79 N-S	carrera   a congestionar callar     callar     n segundo	1
3864	1059776708843393029	2018-11-06 06:57:11	RedapBogota	CL 13 X AV CALI OR-OCC: Se presenta incidente vial entre dos motos	centilitro     x av cali or occ   presentar incidente vial moto	1
4049	1060181790470664192	2018-11-07 09:46:50	RedapBogota	Cr 24 x 66 semáforos apagados	cr     x     semáforo apagar	1
