	id_tweet	text	no	none	si
2	1056634738293817345	Ruta 41 El Cortijo ↔ Alpes de Calle 80 a Sur (con mapas) - subete al #SITP https://t.co/oxA0Wftt9N	3	0	0
3	1062161422627553280	@petrogustavo Y porque no la hacen un fin de semana, o en el tiempo libre. Bien fregada que esta la economía para parar un dia laboral o muy por las marchas no dejen trabajar a los que transportan en entregas.	3	0	0
4	1066332439969177600	Se viene diciembre y la policía de tránsito lo sabe 🐀🐀 https://t.co/JP67k5HQRa	3	0	0
5	1056334809621057536	Ruta 59a Boita ↔ Tercer Milenio de Sur a Centro (con mapas) - subete al #SITP https://t.co/JSwL5SByHE	3	0	0
6	1072481234851414016	📌 #NoOlvides que ya entró en funcionamiento el carril preferencial de la Av. Boyacá, entre las calles 80 y 134, ambos sentidos. Este tendrá un horario de 6:00 a.m. a 8:30 a.m. y de 3:00 p.m. a 7:30 p.m., de lunes a sábado.Entérate cómo funciona 📺… https://t.co/iQTr7QEOyh https://t.co/Q1RHtOm4Nn	3	0	0
8	1050351425048469506	Clima de mierda = llegar tarde LCDLL	3	0	0
9	1053633974126419974	Mañana 21 de octubre es la gran marcha por los derechos de los animales. #DerechoAnimal https://t.co/GjGOCLPHUA	3	0	0
10	1066515048166756352	@TransMilenio es definitivamente malo no deberían usarlo campren carro. 25 minutos esperando el K86 que nos lleva al aeropuerto y eso que estamos en el portal del dorado. Malo malo malo no lo usen	3	0	0
11	1048362473403944960	. Buen clima en La Candelaria para pasar un rato riendo con la ocurrencia crítica y en vivo de la grabación del episodio No. 100 de @ElCafePicante #CasaDeCitas con @amoralesan y todo el elenco. Después, rumba con #AzulTabuco Cra.3 No.12B-35 ¡Los esperamos! 7:30 PM https://t.co/JorUkcotna	3	0	0
13	1058819521669144576	@manolitosalazar @TransMilenio hoy dan cátedra de lo que se debe hacer y su único aporte al transporte fue el SITP Provisional	3	0	0
14	1060384028782682113	Cuidado⚠️🚨 señores pasajeros con estos tipos que se encuentran delinquiendo dentro de las instalaciones de Transmilenio; #TMahora @TransMilenio 😱🔪🚌 https://t.co/y7AWk1CRcC	3	0	0
15	1063282332474507265	@ernestomaciast @AlvaroUribeVel dejó el país con hueco fiscal de 21 billones, otra mentira que nadie le cree	3	0	0
16	1065679783336574976	Junip pega con la lluvia bogotana https://t.co/TZW9M87zd1 #NowPlaying	3	0	0
18	1072984256236924928	@lupita_mancer @YouTube Para escuchar ven una tarde de lluvia.... sol@ o compañad@ con un buen café...	3	0	0
19	1068305228582268936	En la lluvia , los pasajeros salieron al parqueadero destapado para no mojarse .- https://t.co/HCZc7TR2nA vía @elcolombiano	3	0	0
