id_tweet	text	no	none	si
1076880826908975104	Incidente vial entre bus 🚍 y un ciclista‍ 🚴🏽 en la calle 140 con carrera 12, sentido occidente - oriente. Unidad de 👮@TransitoBta y 🚑 asignadas.	0	0	3
1064303010585681922	Incidente vial entre dos particulares 🚘🚙‍ en la calle 19 con carrera 24, sentido oriente-occidente.Unidad de 👮 @TransitoBta asignada.	0	0	3
1060495001350782978	Incidente vial entre particulares 🚘‍ en la Autonorte con calle 182, sentido sur- norte.Unidad de 👮 TransitoBta asignada.	0	0	3
1072486416154808320	Incidente vial entre bus 🚍y un motociclista ‍🏍  en la calle 86a  con carrera  111a. Unidad de 👮@TransitoBta y 🚑 asignadas.	0	0	3
1074644713217638407	Incidente vial entre dos motociclistas 🏍‍ en la Autonorte con calle 183, sentido sur-  norte.Unidad de 👮 TransitoBta asignada.	0	0	3
1073575104590872576	Incidente vial entre  particular 🚘 ‍y grúa  en la Autonorte con calle 127, sentido norte-sur.Unidad de 👮 @TransitoBta asignada	0	0	3
1069928769455054848	Incidente vial entre  dos particulares  🚘‍ en la Av Cali con calle 65, sentido sur-norte.Unidad de 👮 @TransitoBta asignada.	0	0	3
1055093372074053632	💥  Incidente vial entre particular 🚘 y motocicleta 🏍‍ en la Nqs con calle 18, sentido norte - sur.Unidad de 👮 TransitoBta asignada.	0	0	3
1071197052133101568	Accidente en Calle 68 #traficobogota. Tráfico 21m más lento de lo habitual. https://t.co/moHLMdsqt5 https://t.co/exJN9IJP8L	0	0	3
1053263637736030208	💥  Incidente vial entre  particular 🚙 y taxi 🚖 en la calle 11 SUR con carrera 3, sentido occidente-oriente.Unidad de 👮 @TransitoBta asignada.	0	0	3
1078000758052868097	Incidente vial entre particulares 🚘  en la Av circunvalar  con carrera  42, sentido xxx - xxx. Unidad de 👮@TransitoBta y 🚑 asignadas.	0	0	3
1076207018455781376	Incidente vial entre particular  🚘  y un   bus  🚌‍ en la Américas  con carrera 52, sentido oriente - occidente.Unidad de 👮 TransitoBta asignada.	0	0	3
1070775734988345346	Incidente vial se presenta caída de motociclista  🏍 ‍en la Av. Cali con Av. Esperanza, sentido norte - sur.Unidad de 👮 @TransitoBta , ambulancia 🚑 y  en el punto.	0	0	3
1054331563549343744	💥  Incidente vial entre taxi 🚖 y motocicleta 🏍 en la calle  13 con carrera 90, sentido occidente - oriente.Unidad de 👮 TransitoBta asignada.	0	0	3
1069291457910054914	Incidente vial entre camioneta 🚘 y ciclista 🚴‍♀️ en la  Carrera 3 con Calle 56. sentido sur-norteUnidad de 👮 TransitoBta asignada 🚑	0	0	3
1074418187393998849	Incidente vial entre dos particulares 🚘🚙‍ en la Av 1 de mayo con Av Caracas, Unidad de 👮 TransitoBta asignada.	0	0	3
1060856459859316736	Incidente vial entre un particular 🚘 y un motociclista 🏍 en la calle 134 con Av. Boyacá, sentido oriente - occidente.Unidad de 👮 @TransitoBta asignada.	0	0	3
1075518221804101632	Incidente vial entre  particular 🚘 y camión 🚚‍ en la carrera 84 A con calle 145, Unidad de 👮 @TransitoBta asignada	0	0	3
1072987261023727618	Incidente vial entre 2 camiones 🚚‍ en la carrera 31 A con calle 7, sentido norte - sur.Unidad de 👮 @TransitoBta asignada.	0	0	3
1067430054529982466	Incidente vial entre particular 🚙 y taxi 🚖‍ en la calle 26 con carrera 68F.Unidad de 👮 @TransitoBta asignada.	0	0	3
1052206062928089088	💥  Incidente vial entre un taxi 🚖 y un bus 🚌 en la Av. Boyacá con calle 10, sentido sur - norte. Unidad de 👮 @TransitoBta asignada.	0	0	3
1054418474330664968	💥  Incidente vial se presenta caída de motocicleta  ‍🏍 en la carrera 27 con calle  37 Bis Sur. Unidad de 👮@TransitoBta y 🚑 asignadas.	0	0	3
1075399442147303424	Incidente vial entre  un particular  🚘 y un  bus 🚌  en la Avenida américas con carrera 39.Unidad de 👮 @TransitoBta asignada.	0	0	3
1079022186952826883	Incidente vial entre particulares 🚙 , en la Calle 26 con Av. Boyacá , sentido or-oc.Unidad de 👮 @TransitoBta asignada.	0	0	3
1064490322040893440	Incidente vial entre 2 taxis 🚖 en la Av. Boyacá con calle 65 B, sentido sur - norte.Unidad de 👮 TransitoBta asignada.	0	0	3
1077280546143772673	Incidente vial entre particular 🚘y moto 🏍‍ en la Av dorado con calle 2 sur, sentido sur - norte.Unidad de 👮 TransitoBta asignada.	0	0	3
1055436956535046144	💥  Incidente vial entre un peatón 🚶🏽 ‍y un motociclista ‍🏍  en la calle 75 con carrera  96, sentido occidente - oriente. Unidad de 👮TransitoBta y 🚑 asignadas.	0	0	3
1065028930682478592	Incidente vial entre  dos particulares 🚘  en la calle 51 con carrera  23, sentido oriente - occidente. Unidad de 👮@TransitoBta  asignadas.	0	0	3
1078564779785097216	Incidente vial entre dos particulares 🚘‍ en la calle 80 con carrera 68, sentido oriente - occidente.Unidad de 👮 TransitoBta asignada.	0	0	3
1068306926608498689	Incidente vial entre  particular 🚘 y camión 🚚 en la carrera 43 con calle 3, en la intersecciónUnidad de 👮 @TransitoBta asignada	0	0	3
