	id_tweet	created_at	user_name	text
5052	1,06817927454337E+018	2018-11-29 11:25:59	2arrojas	@Elrepublicano9 Bueno y el abogado de Petro es el mismo de Odebrech y Odebrech llegó primero con el Polo a Tunjuelo-Canoas otro hueco corrupto .
5046	1,05670718656135E+018	2018-10-28 19:40:00	2arrojas	@GABRIELGAVIRIA1 @ElJodario Y más porque usan aceras y ciclorutas, no cumplen la mayoría las normas de tránsito.
5092	1,06030994332734E+018	2018-11-07 18:16:04	5Karena	Portal Norte cerrado. Ni @TransMilenio ni @PoliciaColombia ni @SectorMovilidad reportan que pasa
5198	1,0750092764255E+018	2018-12-18 07:45:58	ALEXBARRETOA	@NoticiasCaracol En la localidad de suba en la mayoría de los conjuntos residenciales no hay parqueaderos, y la gente le toca dejar los carros en frente de las porterías , pero lo más ordenado posible, esto de ha vuelto un negocio para las señoras de la policía de tránsito, no hay parqueaderos
5262	1,06098636437891E+018	2018-11-09 15:03:56	ASofiortiz	@DanielSamperO #BuenViernes  #ParoEstudiantil Según @EnriquePenalosa el @TransMilenio es tan bueno, que hasta nos hace viajar en el tiempo: https://t.co/cATE74Blrm
5303	1,0581817166601E+018	2018-11-01 21:19:15	AXELGOMEZR	@SectorMovilidad @TransMilenio @Bocarejo_JP Una inquietud, ya no le habían subido al transporte público?? Porque el pasaste desde hace varios meses ya no era a $1650 sino a $1700 y los conductores ya no cargan monedas de $50 para dar las vueltas. Que descaro.
5304	1,04973631150927E+018	2018-10-09 14:00:14	AXEL_BARON	@EnriquePenalosa tiene sumida a esta ciudad en el 3cer mundo:-Cuando tuvo la oportunidad d construir el metro en su primera alcaldía nos metió @TransMilenio-Ahora q le dejaron los estudios listos para un metro como el d Quito o NY, dice q no le gusta.#CorrupciónMetroElevado
5327	1,05296447140315E+018	2018-10-18 11:47:47	AdmonURosario	??ay muchas transacciones que todavía son offline, estar en un mapa permite generar más tráfico hacia el punto??@waze #URWebCongress@webcongress @URosario
5371	1,05984898969926E+018	2018-11-06 11:44:24	Aguardientosky	@humanito @vultriaisk Entiendo que esos huecos se rellenaban para que se pudiera grabar en el casete. Uno grababa y rompía la tapa de los huecos.
5441	1,04858946326854E+018	2018-10-06 10:03:04	AlejaUrrutiaR	Esa impresión del que se sube al transmilenio un sábado va tibio.
5550	1,04762806789889E+018	2018-10-03 18:22:50	AlexLargentP	"""""""""""""""@TransMilenio @SeguridadBOG @PoliciaBogota @JGarciaG1 @Bogota @EnriquePenalosa @integracionbta @CulturaenBta @SectorMovilidad @idubogota A qué viene el cuento que es extranjero? Si fuera negro pondrían """"""""""""""""vendedor negro""""""""""""""""? #tuitxenófobo @EnriquePenalosa @DanielSamperO"""""""""""""""
5647	1,06280562429832E+018	2018-11-14 15:33:01	Ambitojuridico	Alcaldes son competentes para fijar tarifas de parqueaderos https://t.co/N9AGUFl8Ta https://t.co/tbjcnlwbQk
5669	1,0743810914763E+018	2018-12-16 14:09:47	AnaMaRami	Todos están guardaditos en sus casas? No leo a nadie quejándose del HIJUEPUTA TR?FICO DE MIERDA DE HOY ??
5673	1,06306314953076E+018	2018-11-15 08:36:20	AnaPico	@TransMilenio #EquipoT hace trabajo en horas valle en portal Tunal. Urgente mejorar frecuencias en horas pico, para lograr resultados efectivos. @EnriquePenalosa
5683	1,04753983373073E+018	2018-10-03 12:32:13	Anaa_Banaanaa	Ahhhhh pero sigan comprándole a los vendedores informales en el sistema ?��?��?��?�� https://t.co/s1fmH5OFTb
5685	1,05296102558943E+018	2018-10-18 11:34:06	Analitico_Col	¿ Estudiantes ? ..  Cual es la carrera ?    https://t.co/ClCj3jXFtE
35010	1,0731940336595E+018	2018-12-13 07:32:51	AndreaRey	El pasado viernes murió una persona arrojada de una estación de TM por lo lleno que estaba, pasó un bus y la atropelló. De verdad cree este inepto que Bogotá será ??a más avanzada del@mundo??con un servicio de transporte mandado a recoger? ¿Nos cree imbéciles? https://t.co/7xS8C4S74o
5758	1,06782664019192E+018	2018-11-28 12:04:44	Andrelifevan	Ya el activismo se esta volviendo una mierdx, por eso no me gusta participar en actividades o manifestaciones lgbtiq....????
5809	1,07439139602139E+018	2018-12-16 14:50:44	AndresDiazBe	@NanyPardo @CarlosCarrilloA @TransMilenio 10. TM7a es mejor que no hacer nada porque se cambian 1500 buses viejos por 140 biarticulados eléctricos o gas, se soterrarán todos los cables desde la 32 a la 200, porque es la misma cra 10a,y porque es la única troncal cuya verdadera competencia directa será el carro particular
5844	1,07450625483858E+018	2018-12-16 22:27:09	AndresDiazBe	@felip_utoguerra @NanyPardo @CarlosCarrilloA @TransMilenio La 26 y 10 las diseñó/contrató Lucho último mes.Samuel no las canceló a cambio de coíma y las dejó un mediocre 85% construidas. Petro sólo las inauguró, dejó diseños/contrato de TransmiCable y una colección de maqueticas.Peñalosa dejará en obra TM Cali/68/100/7a, puentes y vías
