,original,word_segmentation,Correct,v2_twitter
0,porlaviaxlavida,por la via x la vida,1,por la via x la vida
1,otraperiodista,otra periodista,1,otra periodista
2,genmasenergia,gen mas energia,1,gen mas energia
3,eldivinonene,el divino nene,1,el divino nene
4,transitopolicia,transito policia,1,transito policia
5,clustergastronomia,cluster gastronomia,1,cluster gastronomia
6,inviasoficial,invias oficial,1,invias oficial
7,elmundoruedaxse,el mundo rueda x se,1,el mundo rueda x se
8,mepasoalafm,me paso a la fm,1,me paso a la fm
9,sehumano,se humano,1,se humano
10,romerovive,romero vive,1,romero vive
11,vamosmillosalafinal,vamos mil los a la final,0,vamos millos a la final
12,mejorperiodo,mejor periodo,1,mejor periodo
13,conductoragresivo,conductor agresivo,1,conductor agresivo
14,caracolradio,caracol radio,1,caracolradio
15,transmiseria,trans miseria,1,transmiseria
16,novoyalandino,no voy al andino,1,no voy al andino
17,transilenio,transi le ni o,0,transi le ni o
18,elcrimendelsiglo,el crimen del siglo,1,el crimen del siglo
19,viajaryganar,viajar y ganar,1,viajar y ganar
20,adoptada,adoptada,1,adoptada
21,felizmartes,feliz martes,1,feliz martes
22,chinchemejia,chinche mejia,1,chinche mejia
23,americas,americas,1,americas
24,malparqueada,mal parque a da,0,mal parqueada
25,ayuno,ayuno,1,ayuno
26,sejuegaaestahora,se juega a esta hora,1,se juega a esta hora
27,transitobogotad,transito bogota d,1,transito bogota d
28,los120segundosdelgato,los 120 segundos del gato,1,los 120 segundos del gato
29,endesarrollo,en desarrollo,1,en desarrollo
30,jorgeantoniovega,jorge antonio vega,1,jorge antonio vega
31,cronicastransmi,cronicas transmi,1,cronicas transmi
32,jotavolatil,jota volatil,1,jota volatil
33,reportan,reportan,1,reportan
34,sitpbogota,sitp bogota,1,sitpbogota
35,tempranoesmasbacano,temprano es mas baca no,0,temprano es mas bacano
36,noticiasrcn,noticias rcn,1,noticiasrcn
37,canalrcn,canal rcn,1,canalrcn
38,rappicolombia,rapp i colombia,0,rappi colombia
39,auntengohambre,a un tengo hambre,0,aun tengo hambre
40,cesarflechas,cesar flechas,1,cesar flechas
41,noctambulocity,noct ambu lo city,0,noctambulo city
42,eltiempo,el tiempo,1,el tiempo
43,ottogerardo,otto gerardo,1,otto gerardo
44,policiabogota,policia bogota,1,policiabogota
45,viviansalazar,vivian salazar,1,vivian salazar
46,peluchesquiquesam,peluches quique sam,1,peluches quique sam
47,fontibon,font ibon,0,fontibon
48,stevenarce,steven arce,1,steven arce
49,lacalera,la calera,1,la calera
50,tmahora,tm ahora,1,tm ahora
51,bogotasemueve,bogota se mueve,1,bogota se mueve
52,noticiascapital,noticias capital,1,noticias capital
53,prudenciaenlascalles,prudencia en las calles,1,prudencia en las calles
54,naelamusic,naela music,1,naela music
55,bluradioco,blu radio co,1,bluradioco
56,seguridadbog,seguridad bog,1,seguridadbog
57,lafmsiempre,la fm siempre,1,la fm siempre
58,tranc,tranc,1,tranc
59,sangre,sangre,1,sangre
60,dictador3,dictador 3,1,dictador 3
61,elojodlanoche,el ojo d la noche,1,el ojo d la noche
62,eldandy,el dandy,1,el dandy
63,puentearanda,puente aranda,1,puente aranda
64,circunvalar,circunvalar,1,circunvalar
65,fontibonsomost,font ibon somos t,0,fontibon somos t
66,lafarradeespumas,la farra de espumas,1,la farra de espumas
67,pachoherrerajr,pacho herrera jr,1,pacho herrera jr
68,domingodememes,domingo de me mes,0,domingo de memes
69,camaradamotero,camarada motero,1,camarada motero
70,ma,ma,1,ma
71,civicosbog,civic os bog,0,civicos bog
72,movilidad,movilidad,1,movilidad
73,cavaderosas,cava de rosas,1,cava de rosas
74,bocadeseleccion,boca de seleccion,1,boca de seleccion
75,uimunicipalista,ui municipalista,1,ui municipalista
76,elsaximena,elsa ximena,1,elsa ximena
77,animalesbog,animales bog,1,animales bog
78,incidentevial,incidente vial,1,incidente vial
79,sitpayuda,sitp ayuda,1,sitp ayuda
80,kindergartenclassroom,kindergarten classroom,1,kindergarten classroom
81,central,central,1,central
82,elluquillo,el luquillo,1,el luquillo
83,entusiasmo,entusiasmo,1,entusiasmo
84,porlosamigostuiteros,por los amigos tuiteros,1,por los amigos tuiteros
85,lareinalagarto,la reina lagarto,1,la reina lagarto
86,rcnradio,rcn radio,1,rcn radio
87,sectormovilidad,sector movilidad,1,sectormovilidad
88,imprudencia,imprudencia,1,imprudencia
89,noticiascaracol,noticias caracol,1,noticiascaracol
90,elteamdelafuria,el team de la furia,1,el team de la furia
91,toyotas,toyotas,1,toyotas
92,noticiasuno,noticias uno,1,noticias uno
93,arribabogota,arriba bogota,1,arriba bogota
94,movilidadtotal,movilidad total,1,movilidad total
95,cablenoticiasqr,cable noticias qr,1,cablenoticias qr
96,lakalle,la kalle,1,la kalle
97,elespectador,el espectador,1,el espectador
98,ahora,ahora,1,ahora
99,seguimoscontoda,seguimos con toda,1,seguimos con toda
100,atravezdelvaso,atravez del vaso,1,atravez del vaso
101,bestiasdriving,bestias driving,1,bestias driving
102,transmilenio,transmilenio,1,transmilenio
103,cazainfractor,caza infractor,1,caza infractor
104,avenida,avenida,1,avenida
105,pueblo,pueblo,1,pueblo
106,forop,foro p,1,foro p
107,trampasmortales,trampas mortales,1,trampas mortales
108,calicalentura,cali calentura,1,cali calentura
109,urgente,urgente,1,urgente
110,impactoparanormal,impacto paranormal,1,impacto paranormal
111,reporte,reporte,1,reporte
112,socializar,socializar,1,socializar
113,atencion,atencion,1,atencion
114,facebooklive,facebook live,1,facebook live
115,deespacio,de espacio,1,de espacio
116,medimasepsnosedetiene,me dimas eps no se de tiene,0,medimas eps no se de tiene
117,bogotaparticipa,bogota participa,1,bogota participa
118,fuerasanguinettiperdedor,fuera sanguinetti perdedor,1,fuera sanguinetti perdedor
119,bogota,bogota,1,bogota
120,tristeza,tristeza,1,tristeza
121,accidentedetransitobogota,accidente de transito bogota,1,accidente de transito bogota
122,tranviabgta,tranvia bgt a,0,tranvia bgta
123,laluciernaga,la lucie r naga,1,la luciernaga
124,redmasnoticias,red mas noticias,1,red mas noticias
125,citynoticiasfds,city noticias fds,1,citynoticias fds
126,redmastv,red mas tv,1,red mas tv
127,citynoticiasmd,city noticias md,1,citynoticias md
128,bomberosbogota,bomberos bogota,1,bomberosbogota
129,am,am,1,am
130,infobogotaet,info bogota et,1,info bogota et
131,noticia,noticia,1,noticia
132,normandia,normandia,1,normandia
133,tcccolombia,tcc colombia,1,tcc colombia
134,ciudad,ciudad,1,ciudad
135,alcaldiausaquen,alcaldia usa que n,0,alcaldia usaquen
136,bibliotecasp,bibliotecas p,1,bibliotecas p
137,ideal,ideal,1,ideal
138,redapbogota,red a p bogota,0,red a p bogota
139,lareporterasoyyo,la reportera soy yo,1,la reportera soy yo
140,comparte,comparte,1,comparte
141,aprevenirtodos,a prevenir todos,1,a prevenir todos
142,patrudelanoche,pat rude la noche,0,pa trude la noche
