original,word_segmentation,Correct
porlaviaxlavida,por la via x la vida,1
otraperiodista,otra periodista,1
genmasenergia,gen mas energia,1
eldivinonene,el divino nene,1
transitopolicia,transito policia,1
clustergastronomia,cluster gastronomia,1
inviasoficial,invias oficial,1
elmundoruedaxse,el mundo rueda x se,1
mepasoalafm,me paso a la fm,1
sehumano,se humano,1
romerovive,romero vive,1
vamosmillosalafinal,vamos mil los a la final,0
mejorperiodo,mejor periodo,1
conductoragresivo,conductor agresivo,1
caracolradio,caracol radio,1
transmiseria,trans miseria,1
novoyalandino,no voy al andino,1
transilenio,transi le ni o,0
elcrimendelsiglo,el crimen del siglo,1
viajaryganar,viajar y ganar,1
adoptada,adoptada,1
felizmartes,feliz martes,1
chinchemejia,chinche mejia,1
americas,americas,1
malparqueada,mal parque a da,0
ayuno,ayuno,1
sejuegaaestahora,se juega a esta hora,1
transitobogotad,transito bogota d,1
los120segundosdelgato,los 120 segundos del gato,1
endesarrollo,en desarrollo,1
jorgeantoniovega,jorge antonio vega,1
cronicastransmi,cronicas transmi,1
jotavolatil,jota volatil,1
reportan,reportan,1
sitpbogota,sitp bogota,1
tempranoesmasbacano,temprano es mas baca no,0
noticiasrcn,noticias rcn,1
canalrcn,canal rcn,1
rappicolombia,rapp i colombia,0
auntengohambre,a un tengo hambre,0
cesarflechas,cesar flechas,1
noctambulocity,noct ambu lo city,0
eltiempo,el tiempo,1
ottogerardo,otto gerardo,1
policiabogota,policia bogota,1
viviansalazar,vivian salazar,1
peluchesquiquesam,peluches quique sam,1
fontibon,font ibon,0
stevenarce,steven arce,1
lacalera,la calera,1
tmahora,tm ahora,1
bogotasemueve,bogota se mueve,1
noticiascapital,noticias capital,1
prudenciaenlascalles,prudencia en las calles,1
naelamusic,naela music,1
bluradioco,blu radio co,1
seguridadbog,seguridad bog,1
lafmsiempre,la fm siempre,1
tranc,tranc,1
sangre,sangre,1
dictador3,dictador 3,1
elojodlanoche,el ojo d la noche,1
eldandy,el dandy,1
puentearanda,puente aranda,1
circunvalar,circunvalar,1
fontibonsomost,font ibon somos t,0
lafarradeespumas,la farra de espumas,1
pachoherrerajr,pacho herrera jr,1
domingodememes,domingo de me mes,0
camaradamotero,camarada motero,1
ma,ma,1
civicosbog,civic os bog,0
movilidad,movilidad,1
cavaderosas,cava de rosas,1
bocadeseleccion,boca de seleccion,1
uimunicipalista,ui municipalista,1
elsaximena,elsa ximena,1
animalesbog,animales bog,1
incidentevial,incidente vial,1
sitpayuda,sitp ayuda,1
kindergartenclassroom,kindergarten classroom,1
central,central,1
elluquillo,el luquillo,1
entusiasmo,entusiasmo,1
porlosamigostuiteros,por los amigos tuiteros,1
lareinalagarto,la reina lagarto,1
rcnradio,rcn radio,1
sectormovilidad,sector movilidad,1
imprudencia,imprudencia,1
noticiascaracol,noticias caracol,1
elteamdelafuria,el team de la furia,1
toyotas,toyotas,1
noticiasuno,noticias uno,1
arribabogota,arriba bogota,1
movilidadtotal,movilidad total,1
cablenoticiasqr,cable noticias qr,1
lakalle,la kalle,1
elespectador,el espectador,1
ahora,ahora,1
seguimoscontoda,seguimos con toda,1
atravezdelvaso,atravez del vaso,1
bestiasdriving,bestias driving,1
transmilenio,transmilenio,1
cazainfractor,caza infractor,1
avenida,avenida,1
pueblo,pueblo,1
forop,foro p,1
trampasmortales,trampas mortales,1
calicalentura,cali calentura,1
urgente,urgente,1
impactoparanormal,impacto paranormal,1
reporte,reporte,1
socializar,socializar,1
atencion,atencion,1
facebooklive,facebook live,1
deespacio,de espacio,1
medimasepsnosedetiene,me dimas eps no se de tiene,0
bogotaparticipa,bogota participa,1
fuerasanguinettiperdedor,fuera sanguinetti perdedor,1
bogota,bogota,1
tristeza,tristeza,1
accidentedetransitobogota,accidente de transito bogota,1
tranviabgta,tranvia bgt a,0
laluciernaga,la lucie r naga,1
redmasnoticias,red mas noticias,1
citynoticiasfds,city noticias fds,1
redmastv,red mas tv,1
citynoticiasmd,city noticias md,1
bomberosbogota,bomberos bogota,1
am,am,1
infobogotaet,info bogota et,1
noticia,noticia,1
normandia,normandia,1
tcccolombia,tcc colombia,1
ciudad,ciudad,1
alcaldiausaquen,alcaldia usa que n,0
bibliotecasp,bibliotecas p,1
ideal,ideal,1
redapbogota,red a p bogota,0
lareporterasoyyo,la reportera soy yo,1
comparte,comparte,1
aprevenirtodos,a prevenir todos,1
patrudelanoche,pat rude la noche,0
registroica,registro ica,1
mamadosdepetro,mama dos de petro,0
motovallepuentearanda,moto valle puente aranda,1
capitalnoticias,capital noticias,1
actualidad,actualidad,1
envivo,en vivo,1
sectormovilidad1,sector movilidad 1,1
seguridadvial,seguridad vial,1
mercedesbenzworld,mercedes benz world,1
accidentevial,accidente vial,1
noticiaendesarrollo,noticia en desarrollo,1
queviolencia,que violencia,1
corferiasbogota,corferias bogota,1
youtube,youtube,1
bogotiana,bogo tiana,0
estamostrabajando,estamos trabajando,1
ultimahora,ultima hora,1
andenes,andenes,1
eltiempotele,el tiempo tele,1
moto,moto,1
arcadia,arcadia,1
viernes,viernes,1
candelaria,candelaria,1
canalcapital,canal capital,1
expedienteuribev,expediente uribe v,1
transitobogota,transito bogota,1
purapasion,pura pasion,1
gabodelascasas,gabo de las casas,1
bellavista,bellavista,1
colombiahardcore,colombia hardcore,1
motero,motero,1
worldpressphoto,world press photo,1
enestemomento,en este momento,1
fallontonight,fallon tonight,1
lamega,la mega,1
obteniendoconciencia,obteniendo conciencia,1
umvbogota,um v bogota,0
bogotaabierta,bogota abierta,1
6amcaracol,6am caracol,1
citynoticias,city noticias,1
primersolodefagot,primer solo de fagot,1
atentos,atentos,1
locsancristobal,lo c san cristobal,1
somosla92,somos la 92,1
sabadosanto,sabado santo,1
alcaldiakennedy,alcaldia kennedy,1
curulesdelasvictimashttps,curules de las victimas https,1
lamilitar,la militar,1
travelawesome,travel awesome,1
mabellaranews,mabel lara news,1
caracoltv,caracol tv,1
leydelembudo,ley del embudo,1
reddeapoyosic,red de apoyo sic,1
vivianarock,viviana rock,1
bogotatransito,bogota transito,1
malditapelired,maldita peli red,1
alkosto,al kost o,1
amariloconstruyendopais,amari lo construyendo pais,0
pentecostesversion,pentecostes version,1
parroquialasagradaeucaristia,parroquia la sagrada eucaristia,1
accidente,accidente,1
hospitalsuba,hospital suba,1
fiscaliacol,fiscalia col,1
